g1_id,g2_id,g3_id,race,sex,g1_educ,g2_educ,g3_educ,g1_log_income,g2_log_income,g3_log_income
69,131,230,White,Female,High school,High school,Some college,11.601412910675059,11.980063424888407,11.180677814496336
69,131,231,White,Female,High school,High school,Some college,11.601412910675059,11.980063424888407,11.106038151160005
69,132,232,White,Female,High school,Some college,College,11.601412910675059,10.571927890587029,10.9347810850228
69,132,233,White,Female,High school,Some college,High school,11.601412910675059,10.571927890587029,10.47447808686759
70,133,236,White,Female,High school,Some college,Some college,11.299492604323007,10.743714845515264,11.726854656759471
71,134,237,White,Female,High school,Some college,Some college,10.81332075273611,10.743714845515264,10.910134287085985
71,134,238,White,Female,High school,Some college,Some college,10.81332075273611,10.743714845515264,11.726854656759471
73,136,242,White,Female,High school,College,College,11.655487447969254,11.988981064743575,11.725702647265903
73,137,244,White,Female,High school,Some college,High school,11.655487447969254,11.485122656144359,11.729454951424872
73,137,245,White,Female,High school,Some college,Some college,11.655487447969254,11.485122656144359,11.77898709465305
73,137,246,White,Male,High school,Some college,Some college,11.655487447969254,11.485122656144359,10.190986720906446
74,138,248,White,Male,College,College,College,11.80102680879692,12.153202909666605,11.786536592513302
75,139,250,White,Male,High school,College,College,11.886490615592107,12.153202909666605,11.786536592513302
76,140,251,White,Male,High school,High school,High school,11.479356198289246,11.737969344047086,11.660477330615734
76,140,252,White,Male,High school,High school,Less than high school,11.479356198289246,11.737969344047086,11.956780673202642
77,141,255,White,Female,College,Some college,College,12.333063458594546,11.070933461086467,10.543590837678003
77,141,257,White,Female,College,Some college,College,12.333063458594546,11.070933461086467,10.17023393648832
78,142,259,White,Male,Less than high school,Some college,High school,12.396179077934944,11.070933461086467,11.066043598148397
78,142,262,White,Female,Less than high school,Some college,College,12.396179077934944,11.070933461086467,10.17023393648832
78,142,263,White,Male,Less than high school,Some college,High school,12.396179077934944,11.070933461086467,11.068479565163608
79,143,264,White,Male,High school,Less than high school,College,10.920196165984148,11.901949851112812,11.0925895917879
80,144,267,White,Male,Less than high school,Less than high school,Less than high school,11.22979635483195,11.274885457949008,10.63918707872245
80,145,268,White,Male,Less than high school,High school,Some college,11.22979635483195,11.35388681294288,10.730009783626437
80,146,272,White,Male,Less than high school,High school,Some college,11.22979635483195,11.102108778221142,10.971295968193497
81,148,276,White,Male,High school,High school,High school,11.1455764747575,11.35388681294288,9.324190498517336
81,149,278,White,Female,High school,High school,High school,11.1455764747575,11.102108778221142,11.151047022260785
82,151,283,White,Male,Less than high school,College,College,11.423717880409857,11.801848520202194,11.400778703104196
83,152,285,White,Male,Some college,High school,Some college,11.525515831776152,11.650820061702635,12.032495008493132
84,154,287,White,Male,High school,High school,Some college,11.235888353052603,11.15659550266479,11.351429571077906
86,156,289,White,Male,College,College,College,12.311855000377525,11.874275342782653,12.25445394555082
87,157,291,White,Male,High school,College,College,12.46848882621754,11.874275342782653,12.25445394555082
88,159,296,White,Male,High school,College,College,11.503969271750545,11.17692969594315,11.181610856410423
89,160,298,White,Female,Some college,College,Some college,11.669641340962707,11.41479576736459,11.634340948814117
89,160,300,White,Female,Some college,College,High school,11.669641340962707,11.41479576736459,10.63398472816755
90,162,304,Black,Female,Less than high school,Less than high school,Less than high school,9.888053450808911,9.946364845053663,10.11522089655076
90,162,305,Black,Male,Less than high school,Less than high school,Less than high school,9.888053450808911,9.946364845053663,9.734098158054339
91,163,307,White,Male,High school,High school,High school,11.284941039609569,11.242075970617268,11.18322152756389
92,164,309,White,Male,High school,High school,High school,11.284941039609569,11.242075970617268,11.18322152756389
93,165,311,White,Female,Less than high school,College,College,10.753517205321366,11.55446898552349,11.928102126343685
95,167,314,White,Male,College,Some college,College,12.608990007498372,11.754162843170544,12.866902529517063
96,168,316,White,Female,High school,Less than high school,Less than high school,11.563960955437432,11.237361154131404,11.47311873995725
97,169,317,White,Female,High school,High school,Some college,11.079952856546251,10.957044636811156,10.94569428624038
97,169,318,White,Male,High school,High school,High school,11.079952856546251,10.957044636811156,11.601502138463848
98,170,319,White,Female,High school,High school,Some college,11.284123877275725,10.957044636811156,10.94569428624038
101,173,325,White,Female,High school,Less than high school,High school,10.840585197661623,11.76585464432858,11.400875380501503
101,173,326,White,Female,High school,Less than high school,College,10.840585197661623,11.76585464432858,12.012264176194584
102,174,328,White,Female,Some college,High school,High school,11.376660013828252,10.993371920089405,10.484108605645583
102,175,330,White,Female,Some college,College,College,11.376660013828252,11.627596500724728,12.209978064606974
102,175,333,White,Male,Some college,College,College,11.376660013828252,11.627596500724728,11.676488773017143
103,176,335,White,Female,Some college,High school,High school,11.46445402947064,10.993371920089405,11.13836623773945
104,178,341,White,Female,Less than high school,High school,High school,10.914394846189449,10.931314392298775,11.01879074284024
105,179,342,White,Female,Less than high school,High school,College,10.84607713496181,10.931314392298775,10.736177263596646
105,179,343,White,Female,Less than high school,High school,High school,10.84607713496181,10.931314392298775,11.01879074284024
106,180,344,White,Male,High school,High school,Less than high school,11.375075438303265,11.28995231807524,11.278713699755993
106,180,345,White,Male,High school,High school,High school,11.375075438303265,11.28995231807524,11.424790638032384
106,180,346,White,Female,High school,High school,High school,11.375075438303265,11.28995231807524,10.962587562814981
106,180,347,White,Female,High school,High school,High school,11.375075438303265,11.28995231807524,9.22803167457939
106,182,349,White,Male,High school,Less than high school,High school,11.375075438303265,10.718140633946739,9.314427316342094
106,182,350,White,Female,High school,Less than high school,College,11.375075438303265,10.718140633946739,12.256472234416837
107,183,351,White,Female,Less than high school,Some college,College,11.330426011673797,11.699920535088689,10.888109217550245
108,184,352,White,Female,Less than high school,Some college,College,11.505901683102113,11.699920535088689,10.888109217550245
110,186,354,White,Male,High school,High school,Some college,12.181541383140859,11.984584200013737,11.374179664963858
111,187,356,White,Male,Less than high school,Some college,Some college,11.137336887560098,10.859220591370487,10.365843862181706
112,189,359,White,Male,High school,Some college,College,11.81751605837158,11.657072364863023,12.307890174951849
112,189,360,White,Male,High school,Some college,Some college,11.81751605837158,11.657072364863023,11.592210002732786
113,192,364,White,Male,High school,High school,High school,10.880676180002231,11.465783723091615,11.32295374723863
114,193,367,White,Female,Less than high school,High school,Some college,10.990229128145794,11.996492467343227,12.52781756086799
114,194,369,White,Female,Less than high school,High school,High school,10.990229128145794,11.465783723091615,12.461726952103394
115,195,370,White,Female,Less than high school,Less than high school,Some college,10.802767081378414,11.653835579826284,11.256502535965904
115,196,372,White,Female,Less than high school,Less than high school,Less than high school,10.802767081378414,10.074758931753985,9.605081664538803
115,197,373,White,Male,Less than high school,Less than high school,Less than high school,10.802767081378414,11.645973963050778,10.717058885232971
115,197,374,White,Female,Less than high school,Less than high school,Some college,10.802767081378414,11.645973963050778,11.720034403302783
115,198,375,White,Male,Less than high school,Less than high school,Less than high school,10.802767081378414,10.886748841247059,10.803247793224674
118,201,379,White,Male,High school,High school,College,11.29481843372029,11.305749842851409,11.977985433471634
119,202,380,Black,Male,Less than high school,High school,Some college,10.047753281076728,11.344192846111818,11.412602427832914
119,202,381,Black,Male,Less than high school,High school,College,10.047753281076728,11.344192846111818,11.286649001839207
119,203,383,Black,Female,Less than high school,Some college,Less than high school,10.047753281076728,11.230123536746332,11.315435014309939
120,204,384,White,Male,Less than high school,College,College,11.252503103696982,12.585651140385208,12.563030648209319
120,204,387,White,Female,Less than high school,College,Some college,11.252503103696982,12.585651140385208,13.01366634890535
124,209,393,White,Female,Less than high school,College,College,11.391323454749843,11.915066083676924,11.760394261576435
124,210,394,White,Female,Less than high school,High school,High school,11.391323454749843,11.617761729721977,11.279861840749712
124,210,395,White,Male,Less than high school,High school,Some college,11.391323454749843,11.617761729721977,11.753643529029832
126,212,397,White,Male,College,College,College,12.233674917027335,11.946530570505367,13.01366634890535
126,213,398,White,Female,College,College,College,12.233674917027335,11.940851456769598,11.953943506296072
126,213,399,White,Female,College,College,College,12.233674917027335,11.940851456769598,12.68611292874803
128,216,403,White,Female,Less than high school,Less than high school,Some college,10.628567305579386,11.555210675175138,11.970766706673801
129,217,404,White,Male,Some college,High school,High school,12.080438565941787,11.662859467465656,11.666121935938678
129,218,408,White,Male,Some college,High school,Some college,12.080438565941787,11.58804122679811,11.12559250699821
130,220,412,White,Female,High school,High school,High school,12.326106422256544,11.58804122679811,11.068714662429153
130,220,413,White,Male,High school,High school,Some college,12.326106422256544,11.58804122679811,11.12559250699821
132,222,416,White,Male,High school,Some college,Some college,11.745818089507166,11.872167539287034,11.417525475159529
132,222,417,White,Male,High school,Some college,Some college,11.745818089507166,11.872167539287034,11.658265553081424
133,223,418,White,Female,Less than high school,Less than high school,Less than high school,11.077828948554064,10.374196907897266,9.607738003720092
134,224,419,White,Female,Less than high school,Less than high school,Less than high school,10.101142966358122,10.374196907897266,9.607738003720092
137,228,423,White,Male,Less than high school,High school,High school,11.699860291533119,11.355663047356096,11.689401706076929
137,229,427,White,Male,Less than high school,Less than high school,High school,11.699860291533119,10.46150733062188,10.644419963007254
138,231,429,White,Male,Less than high school,Less than high school,High school,10.906311867692857,10.712376443694792,9.846087024135683
138,232,431,White,Male,Less than high school,High school,Less than high school,10.906311867692857,11.355663047356096,11.185416990468257
138,232,432,White,Female,Less than high school,High school,Some college,10.906311867692857,11.355663047356096,10.772735503830107
138,234,435,White,Male,Less than high school,High school,Less than high school,10.906311867692857,10.894191293105003,11.361463095907688
142,238,440,White,Female,Less than high school,Less than high school,High school,11.236166442918183,10.291671026686075,10.672754946891988
142,238,441,White,Female,Less than high school,Less than high school,High school,11.236166442918183,10.291671026686075,11.173284198242133
143,239,442,White,Female,Less than high school,High school,High school,11.728595151235044,11.268721621069917,11.215461166473702
145,242,447,White,Male,High school,Some college,High school,12.006627866765152,11.443204785798708,11.059735496816193
145,242,448,White,Male,High school,Some college,Some college,12.006627866765152,11.443204785798708,11.209453870060283
146,244,450,White,Male,Less than high school,High school,Some college,10.585276797595583,10.42909183706423,10.984836896294363
148,246,452,White,Male,High school,Some college,Some college,12.437172623716094,11.778886782440312,12.199075887963744
149,247,455,White,Female,Less than high school,High school,High school,10.790184515929262,11.602587597333047,11.151506702334297
151,250,459,White,Male,High school,High school,Some college,11.728288377445514,11.566743156010778,10.788343444084822
151,250,460,White,Male,High school,High school,Some college,11.728288377445514,11.566743156010778,10.615695924120072
153,252,462,White,Female,High school,Some college,Some college,12.258266856717658,11.145475713401465,10.865649110678484
155,254,464,White,Male,Some college,High school,College,12.590405125466908,11.94311712547456,12.57602754390212
156,257,468,White,Male,High school,High school,College,12.546192788016189,11.94311712547456,12.57602754390212
156,259,471,White,Female,High school,Some college,College,12.546192788016189,11.65929122322598,9.681845975873815
158,261,475,White,Male,High school,Some college,Some college,11.490773931060614,11.464840969529682,12.280956309775018
159,262,476,White,Female,College,High school,High school,11.180866440792771,11.20009004082136,11.540705092485213
159,262,477,White,Female,College,High school,High school,11.180866440792771,11.20009004082136,10.598136707747969
160,263,478,White,Female,College,High school,High school,11.800930246807416,11.20009004082136,11.540705092485213
160,263,479,White,Female,College,High school,High school,11.800930246807416,11.20009004082136,10.598136707747969
161,264,480,White,Male,Less than high school,High school,High school,11.069325177561739,11.242794494838655,11.058540460687075
162,266,484,White,Male,Less than high school,High school,College,11.16644456067009,11.242794494838655,11.503214922992871
162,267,485,White,Male,Less than high school,High school,High school,11.16644456067009,11.488799448326187,11.893430044098944
164,269,487,White,Male,Less than high school,High school,College,11.44702182709861,11.45275175754376,10.94385900596844
166,271,490,White,Female,Less than high school,Some college,Some college,12.053464508133109,11.479608039574794,11.787969497379272
167,272,493,White,Female,High school,High school,High school,11.462676182481712,11.87506285597187,11.939624654229574
168,273,494,White,Female,High school,High school,High school,11.507310364171541,11.87506285597187,11.706898878473268
169,275,498,White,Male,Some college,High school,College,11.324820856118645,11.849908940672208,10.366654593185444
169,276,501,White,Male,Some college,Some college,College,11.324820856118645,11.991301590853062,11.838595720644316
170,279,506,White,Female,High school,Some college,College,11.124985913910812,11.991301590853062,11.65161727260301
172,281,509,White,Female,Some college,High school,Less than high school,10.978300206898707,11.254445213484395,10.437179143387782
173,284,515,White,Male,High school,High school,High school,11.009633613404437,11.185512935451523,9.724587196132727
173,284,516,White,Female,High school,High school,Some college,11.009633613404437,11.185512935451523,11.066484495846458
173,285,517,White,Female,High school,Some college,College,11.009633613404437,11.635184377780812,11.444441056057332
174,286,518,White,Female,Less than high school,Less than high school,High school,11.009353462044894,10.736426824335602,10.298441753551975
174,286,519,White,Female,Less than high school,Less than high school,High school,11.009353462044894,10.736426824335602,11.411756740169434
174,286,520,White,Male,Less than high school,Less than high school,High school,11.009353462044894,10.736426824335602,10.770439369695058
174,288,522,White,Female,Less than high school,High school,College,11.009353462044894,11.185512935451523,11.759469598720887
174,288,523,White,Male,Less than high school,High school,High school,11.009353462044894,11.185512935451523,9.724587196132727
174,289,525,White,Female,Less than high school,Some college,College,11.009353462044894,11.635184377780812,11.444441056057332
176,291,528,White,Female,High school,Some college,High school,11.293156559326187,11.297157951977132,11.931191966601956
177,293,532,White,Female,Less than high school,High school,College,11.302473057689275,12.014155184633186,11.355426128793288
178,294,533,White,Male,High school,High school,College,11.607208450772767,11.287529751140136,10.817845796613545
179,296,536,White,Male,Less than high school,High school,Less than high school,11.607438040317547,11.156477813459546,11.037958321607013
179,296,537,White,Female,Less than high school,High school,High school,11.607438040317547,11.156477813459546,11.231001741496408
180,297,538,White,Male,High school,High school,Less than high school,11.46364478588599,11.156477813459546,11.037958321607013
180,297,539,White,Female,High school,High school,High school,11.46364478588599,11.156477813459546,11.231001741496408
181,298,540,White,Female,High school,College,College,11.703782816556956,11.600346325441533,12.33977089300891
182,299,543,White,Female,High school,College,High school,11.530621648013119,11.523853296339652,11.042671330330158
183,300,544,White,Male,Less than high school,Less than high school,College,11.303567547954831,11.503766704429367,11.55987514790931
184,301,545,Black,Female,Less than high school,College,College,11.585618621916062,11.47241962280504,12.411110032980288
187,305,550,White,Male,Less than high school,High school,High school,11.485066703698998,11.264728060796743,10.731948883456434
187,305,551,White,Female,Less than high school,High school,Some college,11.485066703698998,11.264728060796743,11.243862959793484
187,305,552,White,Male,Less than high school,High school,High school,11.485066703698998,11.264728060796743,10.949680775455706
187,305,553,White,Male,Less than high school,High school,High school,11.485066703698998,11.264728060796743,10.6752436286497
188,306,555,White,Female,High school,High school,College,11.87630505609883,11.057092353760487,11.397927083691558
191,311,561,White,Male,Less than high school,High school,College,11.543841502331697,11.558104319662975,10.72427362567581
192,312,562,White,Female,College,High school,Some college,11.968432497357643,11.409474146305104,10.747785881572502
192,312,563,White,Female,College,High school,Some college,11.968432497357643,11.409474146305104,11.101355389725187
192,313,566,White,Male,College,Some college,Some college,11.968432497357643,11.907139882484941,10.67377412195359
192,314,567,White,Female,College,Some college,College,11.968432497357643,11.66038915189889,11.365389860729186
193,316,571,White,Female,Less than high school,Some college,College,11.933954700856043,11.907139882484941,11.141027989680333
193,316,572,White,Female,Less than high school,Some college,College,11.933954700856043,11.907139882484941,11.668417031618809
193,317,574,White,Female,Less than high school,Some college,College,11.933954700856043,11.66038915189889,11.365389860729186
193,317,575,White,Female,Less than high school,Some college,Some college,11.933954700856043,11.66038915189889,12.51412358568585
194,318,576,White,Female,Less than high school,Some college,College,11.720744781381715,12.112726812426473,11.627756124929128
195,319,577,White,Female,Less than high school,Some college,College,11.805901373829224,12.112726812426473,11.627756124929128
196,320,578,White,Male,Less than high school,Some college,Some college,12.10831638715302,11.485766874645526,11.467772298815174
197,321,580,White,Male,High school,Some college,Some college,12.021518675233352,11.485766874645526,11.467772298815174
197,321,581,White,Female,High school,Some college,Some college,12.021518675233352,11.485766874645526,11.495040725821935
198,322,584,White,Female,Less than high school,High school,Some college,11.339811648294589,11.778803835507768,11.273758580470531
199,323,586,White,Female,Less than high school,High school,Some college,11.334618116958278,11.778803835507768,11.006321073413883
199,323,587,White,Male,Less than high school,High school,High school,11.334618116958278,11.778803835507768,9.665743463109418
199,323,588,White,Female,Less than high school,High school,Some college,11.334618116958278,11.778803835507768,11.273758580470531
199,323,589,White,Female,Less than high school,High school,Some college,11.334618116958278,11.778803835507768,11.296168918071176
200,325,591,White,Male,High school,College,College,12.163422941513085,11.700682881295108,12.205927550221027
202,327,593,White,Male,High school,College,High school,11.461911686373432,11.182694688522846,11.404301529956358
202,328,594,White,Female,High school,High school,College,11.461911686373432,11.480858320444737,11.817973686649902
203,330,597,Other,Female,High school,High school,College,11.530006383979602,11.480858320444737,11.817973686649902
203,330,598,Other,Male,High school,High school,High school,11.530006383979602,11.480858320444737,8.517193191416238
204,331,599,White,Female,Some college,College,College,11.745276793692426,11.973822687092099,11.743575246949817
204,331,600,White,Male,Some college,College,College,11.745276793692426,11.973822687092099,11.668364904305264
205,332,601,White,Male,College,College,Some college,11.75709102224507,11.565983499819295,11.610202683521821
205,332,604,White,Female,College,College,Some college,11.75709102224507,11.565983499819295,11.276805304914244
206,333,605,White,Male,Less than high school,College,Some college,11.806430798069286,11.565983499819295,11.610202683521821
206,333,606,White,Male,Less than high school,College,College,11.806430798069286,11.565983499819295,11.196645055227581
207,334,609,White,Female,High school,Some college,College,11.930079629958554,11.96979271200252,11.81347327072422
